original_reference,original_ref_checked,non_original_reference,habitat_naturality,biome,species,mycorrhiza type,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,consensus_mycorrhizal_state
"Kong, D., Ma, C., Zhang, Q., Li, L., Chen, X., Zeng, H., & Guo, D. (2014). Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist, 203(3), 863-872.",,,natural,,Wendlandia uvariifolia,AM; no others,,,,,,,,,AM
"Kormanik, P. P., Schultz, R. C., & Bryan, W. C. (1982). The influence of vesicular-arbuscular mycorrhizae on the growth and development of eight hardwood tree species. Forest Science, 28(3), 531-539.",,,greenhouse,,Acer negundo,AM; others not addressed,,,,,,,,,AM
"Kormanik, P. P., Schultz, R. C., & Bryan, W. C. (1982). The influence of vesicular-arbuscular mycorrhizae on the growth and development of eight hardwood tree species. Forest Science, 28(3), 531-539.",,,greenhouse,,Acer rubrum,AM; others not addressed,,,,,,,,,AM
"Kormanik, P. P., Schultz, R. C., & Bryan, W. C. (1982). The influence of vesicular-arbuscular mycorrhizae on the growth and development of eight hardwood tree species. Forest Science, 28(3), 531-539.",,,greenhouse,,Acer saccharum,AM; others not addressed,,,,,,,,,AM
"Kormanik, P. P., Schultz, R. C., & Bryan, W. C. (1982). The influence of vesicular-arbuscular mycorrhizae on the growth and development of eight hardwood tree species. Forest Science, 28(3), 531-539.",,,greenhouse,,Juglans nigra,AM; others not addressed,,,,,,,,,AM
"Kormanik, P. P., Schultz, R. C., & Bryan, W. C. (1982). The influence of vesicular-arbuscular mycorrhizae on the growth and development of eight hardwood tree species. Forest Science, 28(3), 531-539.",,,greenhouse,,Liquidambar styraciflua,AM; others not addressed,,,,,,,,,AM
"Kormanik, P. P., Schultz, R. C., & Bryan, W. C. (1982). The influence of vesicular-arbuscular mycorrhizae on the growth and development of eight hardwood tree species. Forest Science, 28(3), 531-539.",,,greenhouse,,Platanus occidentalis,AM; others not addressed,,,,,,,,,AM
"Kostermans, A. J. G. (1987). Proceedings of the Third Round Table Conference on Dipterocarps. In Round Table Conference on Dipterocarps 1985: Universitas Mulawarman). Unesco, Regional Office for Science and Technology for Southeast Asia.",,,,,Acacia auriculiformis,AM; no others,,Leho Tedersoo,most species of Acacia s.str. are EcM-AM,,,,,,EcM-AM
"Kostermans, A. J. G. (1987). Proceedings of the Third Round Table Conference on Dipterocarps. In Round Table Conference on Dipterocarps 1985: Universitas Mulawarman). Unesco, Regional Office for Science and Technology for Southeast Asia.",,,,,Alstonia scholaris,AM; no others,,,,,,,,,AM
"Kostermans, A. J. G. (1987). Proceedings of the Third Round Table Conference on Dipterocarps. In Round Table Conference on Dipterocarps 1985: Universitas Mulawarman). Unesco, Regional Office for Science and Technology for Southeast Asia.",,,,,Aphanamixis polystachya,AM; no others,,,,,,,,,AM
"Kostermans, A. J. G. (1987). Proceedings of the Third Round Table Conference on Dipterocarps. In Round Table Conference on Dipterocarps 1985: Universitas Mulawarman). Unesco, Regional Office for Science and Technology for Southeast Asia.",,,,,Carallia brachiata,AM; no others,,,,,,,,,AM
"Kostermans, A. J. G. (1987). Proceedings of the Third Round Table Conference on Dipterocarps. In Round Table Conference on Dipterocarps 1985: Universitas Mulawarman). Unesco, Regional Office for Science and Technology for Southeast Asia.",,,,,Pterospermum acerifolium,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM),,,,,,AM
"Kovacs, G. M., & Szigetvari, C. (2002). Mycorrhizae and other root-associated fungal structures of the plants of a sandy grassland on the Great Hungarian Plain. PHYTON-HORN-, 42(2), 211-224.",,,,,Acer negundo,"EcM,AM",,Leho Tedersoo,"incorrect report for EcM (this genus is AM, most reports of this species are AM-only)",Mark Brundrett,incorrect report from EcM perspective,Laura M. Suz,not ECM,,AM
"Laferrière, J., & Koske, R. E. (1981). Occurrence of VA mycorrhizas in some Rhode Island pteridophytes. Transactions of the British Mycological Society, 76(2), 331-332.",,,plantation,,Equisetum hyemale,AM; others not addressed,,,,,,,,,NM-AM
"Laferrière, J., & Koske, R. E. (1981). Occurrence of VA mycorrhizas in some Rhode Island pteridophytes. Transactions of the British Mycological Society, 76(2), 331-332.",,,plantation,,Onoclea sensibilis,AM; others not addressed,,,,,,,,,AM
"Liu, B., Li, H., Zhu, B., Koide, R. T., Eissenstat, D. M., & Guo, D. (2015). Complementarity in nutrient foraging strategies of absorptive fine roots and arbuscular mycorrhizal fungi across 14 coexisting subtropical tree species. New Phytologist, 208(1), 125-136.",,,natural,,Acer fabri,AM; no others,,,,,,,,,AM
"Liu, B., Li, H., Zhu, B., Koide, R. T., Eissenstat, D. M., & Guo, D. (2015). Complementarity in nutrient foraging strategies of absorptive fine roots and arbuscular mycorrhizal fungi across 14 coexisting subtropical tree species. New Phytologist, 208(1), 125-136.",,,natural,,Alniphyllum fortunei,AM; no others,,,,,,,,,AM
"Liu, B., Li, H., Zhu, B., Koide, R. T., Eissenstat, D. M., & Guo, D. (2015). Complementarity in nutrient foraging strategies of absorptive fine roots and arbuscular mycorrhizal fungi across 14 coexisting subtropical tree species. New Phytologist, 208(1), 125-136.",,,natural,,Cinnamomum porrectum,AM; no others,,,,,,,,,AM
"Liu, B., Li, H., Zhu, B., Koide, R. T., Eissenstat, D. M., & Guo, D. (2015). Complementarity in nutrient foraging strategies of absorptive fine roots and arbuscular mycorrhizal fungi across 14 coexisting subtropical tree species. New Phytologist, 208(1), 125-136.",,,natural,,Cunninghamia lanceolata,AM; no others,,,,,,,,,AM
"Mahadevan A, Raman N, Natarajan (eds) 1988.Proceedings of the first asian conference on mycorrhizae. University of Madras; Madras, India",,,,,Acacia mangium,AM; no others,,Leho Tedersoo,most species of Acacia s.str. are EcM-AM,,,,,,EcM-AM
"Mahadevan A, Raman N, Natarajan (eds) 1988.Proceedings of the first asian conference on mycorrhizae. University of Madras; Madras, India",,,,,Acacia auriculiformis,AM; no others,,Leho Tedersoo,most species of Acacia s.str. are EcM-AM,,,,,,EcM-AM
"Malloch, D., & Malloch, B. (1981). The mycorrhizal status of boreal plants: species from northeastern Ontario. Canadian Journal of Botany, 59(11), 2167-2172.",,,,,Populus tremuloides,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Mayr, R., & Godoy, R. (1990). Seasonal patterns in vesicular-arbuscular mycorrhiza in Melic-Beech forest. Agriculture, Ecosystems & Environment, 29(1-4), 281-288.",,,natural,forest: temperate broadleaf forest biome,Acer pseudoplatanus,AM; no others,,,,,,,,,AM
"Mayr, R., & Godoy, R. (1990). Seasonal patterns in vesicular-arbuscular mycorrhiza in Melic-Beech forest. Agriculture, Ecosystems & Environment, 29(1-4), 281-288.",,,natural,forest: temperate broadleaf forest biome,Fraxinus excelsior,AM; no others,,,,,,,,,AM
"McDougall, W. B. (1914). On the mycorrhizas of forest trees. Amer.J. Bot. i, 51.",,,,,Acer rubrum,AM; no others,,Leho Tedersoo,in this study 22% reports conflict with predictions,,,,,,AM
"McDougall, W. B. (1914). On the mycorrhizas of forest trees. Amer.J. Bot. i, 51.",,,,,Cornus florida,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 22% reports conflict with predictions)",,,,,,AM
"McDougall, W. B. (1914). On the mycorrhizas of forest trees. Amer.J. Bot. i, 51.",,,,,Quercus alba,EcM; no others,,Leho Tedersoo,in this study 22% reports conflict with predictions,,,Laura M. Suz,ok,,EcM
"McDougall, W. B. (1914). On the mycorrhizas of forest trees. Amer.J. Bot. i, 51.",,,,,Sassafras albidum,non-mycorrhizal (checked for all types),,Leho Tedersoo,in this study 22% reports conflict with predictions,,,,,,NM-AM
"McDougall, W. B. (1914). On the mycorrhizas of forest trees. Amer.J. Bot. i, 51.",,,,,Ulmus americana,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 22% reports conflict with predictions),,,,,,AM
"McDougall, W. B. (1928). Mycorhizas from North Carolina and Eastern Tennessee. American Journal of Botany, 141-148.",,,natural,,Carya glabra,EcM; no others,,,,,,Laura M. Suz,Do not know,,EcM
"McDougall, W. B. (1928). Mycorhizas from North Carolina and Eastern Tennessee. American Journal of Botany, 141-148.",,,natural,,Liquidambar styraciflua,AM; no others,,,,,,,,,AM
"McDougall, W. B. (1928). Mycorhizas from North Carolina and Eastern Tennessee. American Journal of Botany, 141-148.",,,natural,,Liriodendron tulipifera,AM; no others,,,,,,,,,AM
"McDougall, W. B. (1928). Mycorhizas from North Carolina and Eastern Tennessee. American Journal of Botany, 141-148.",,,natural,,Magnolia acuminata,EcM; no others,,Leho Tedersoo,incorrect report (this genus is AM),Mark Brundrett,incorrect report for EcM,Laura M. Suz,not ECM,,AM
"McDougall, W. B. (1928). Mycorhizas from North Carolina and Eastern Tennessee. American Journal of Botany, 141-148.",,,natural,,Pinus virginiana,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"McDougall, W. B. (1928). Mycorhizas from North Carolina and Eastern Tennessee. American Journal of Botany, 141-148.",,,natural,,Sassafras albidum,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"McDougall, W. B., & Jacobs, M. C. (1927). Tree Mycorhizas from the Central Rocky Mountain Region. American Journal of Botany, 258-266.",,,,,Populus tremuloides,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Mikola, P. (1980). Mycorrhizae across the frontiers. Tropical Mycorrhiza Research. Ed. P Mikola, 3-10.",,,,,Alstonia scholaris,AM; no others,,,,,,,,,AM
"Mikola, P. (1980). Mycorrhizae across the frontiers. Tropical Mycorrhiza Research. Ed. P Mikola, 3-10.",,,,,Carallia brachiata,AM; no others,,,,,,,,,AM
"Mikola, P. (1980). Mycorrhizae across the frontiers. Tropical Mycorrhiza Research. Ed. P Mikola, 3-10.",,,,,Carallia brachiata,AM; no others,,,,,,,,,AM
"Mikola, P. (1980). Mycorrhizae across the frontiers. Tropical Mycorrhiza Research. Ed. P Mikola, 3-10.",,,,,Cinnamomum cassia,AM; no others,,,,,,,,,AM
"Mishra, R. R., Sharma, G. D., & Gatphoh, A. R. (1980). Mycorrhizas in the ferns of North Eastern India. In Proc Indian Nat Sci Acad (Vol. 1346, pp. 546-551).",,,natural,,Dicranopteris linearis,AM; others not addressed,,,,,,,,,AM
"Moyersoen, B., Becker, P., & Alexander, I. J. (2001). Are ectomycorrhizas more abundant than arbuscular mycorrhizas in tropical heath forests?. New Phytologist, 150(3), 591-599.",,,natural,forest: tropical broadleaf forest biome,Nephelium lappaceum,AM; no others,,,,,,,,,AM
"Muthukumar T., Sathiyaraj G., Priyadharsini P., Uma E., Sathiyadash K. (2014). Arbuscular mycorrhizal and dark septate endophyte fungal associations in ferns and lycophytes of Palni Hills, Western Ghats, southern India Brazilian Journal of Botany 37(4), 561-581",,,,,Dicranopteris linearis,AM; others not addressed,,,,,,,,,AM
"Muthukumar T., Sathiyaraj G., Priyadharsini P., Uma E., Sathiyadash K. (2014). Arbuscular mycorrhizal and dark septate endophyte fungal associations in ferns and lycophytes of Palni Hills, Western Ghats, southern India Brazilian Journal of Botany 37(4), 561-581",,,,,Dicranopteris linearis,AM; others not addressed,,,,,,,,,AM
"Muthuraja, R., Muthukumar, T., Sathiyadash, K., Uma, E., & Priyadharsini, P. (2014). Arbuscular mycorrhizal (AM) and dark septate endophyte (DSE) fungal association in lycophytes and ferns of the Kolli Hills, Eastern Ghats, Southern India. American Fern Journal, 104(2), 67-102.",,,,,Dicranopteris linearis,AM; others not addressed,,,,,,,,,AM
"Pandey, R. R., Chongtham, I., & Muthukumar, T. (2016). Influence of season and edaphic factors on endorhizal fungal associations in subtropical plantation forest trees of Northeastern India. Flora-Morphology, Distribution, Functional Ecology of Plants, 222, 1-12.",,,,,Castanopsis hystrix,AM; others not addressed,,Leho Tedersoo,"incorrect report (this genus is EcM, most reports of this species are EcM)",,,,,,EcM
"Pandey, R. R., Chongtham, I., & Muthukumar, T. (2016). Influence of season and edaphic factors on endorhizal fungal associations in subtropical plantation forest trees of Northeastern India. Flora-Morphology, Distribution, Functional Ecology of Plants, 222, 1-12.",,,,,Schima wallichii,AM; others not addressed,,,,,,,,,AM
"Peyronel, B. (1922). Nuovi casi di rapporti micorizici tra Basidiomiceti e Fanerogame arboree.",,,,,Pinus strobus,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Peyronel, B. (1922). Nuovi casi di rapporti micorizici tra Basidiomiceti e Fanerogame arboree.",,,,,Populus tremula,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Peyronel, B. (1922). Nuovi casi di rapporti micorizici tra Basidiomiceti e Fanerogame arboree.",,,,,Quercus alba,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Reddell, P., & Warren, R. (1986). Inoculation of acacias with mycorrhizal fungi: potential benefits. Australian Acacia in developing countries. ACIAR, Canberra, 50-53.",,,,,Acacia auriculiformis,AM; no others,,Leho Tedersoo,most species of Acacia s.str. are EcM-AM,,,,,,EcM-AM
"Reddell, P., & Warren, R. (1986). Inoculation of acacias with mycorrhizal fungi: potential benefits. Australian Acacia in developing countries. ACIAR, Canberra, 50-53.",,,,,Acacia mangium,AM; no others,,Leho Tedersoo,most species of Acacia s.str. are EcM-AM,,,,,,EcM-AM
"Rothwell, F. M., & Vogel, W. G. (1982). Mycorrhizae of planted and volunteer vegetation on surface-mined sites [Kentucky; Tennessee]. Forest Service general technical report NE-United States.",,,,,Adiantum pedatum,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,AM
"Rothwell, F. M., & Vogel, W. G. (1982). Mycorrhizae of planted and volunteer vegetation on surface-mined sites [Kentucky; Tennessee]. Forest Service general technical report NE-United States.",,,,,Pinus virginiana,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Rothwell, F. M., & Vogel, W. G. (1982). Mycorrhizae of planted and volunteer vegetation on surface-mined sites [Kentucky; Tennessee]. Forest Service general technical report NE-United States.",,,,,Adiantum pedatum,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,AM
"Schultz, R. C., Isebrands, J. G., & Kormanik, P. P. (1983). Mycorrhizae of poplars. USDA Forest Service General Technical Report NC, 91, 17-28.",,,,,Populus deltoides,"EcM,AM",,,,,,Laura M. Suz,ok,,EcM-AM
"Schultz, R. C., Isebrands, J. G., & Kormanik, P. P. (1983). Mycorrhizae of poplars. USDA Forest Service General Technical Report NC, 91, 17-28.",,,,,Populus tremula,"EcM,AM",,,,,,Laura M. Suz,ok,,EcM-AM
"Schultz, R. C., Isebrands, J. G., & Kormanik, P. P. (1983). Mycorrhizae of poplars. USDA Forest Service General Technical Report NC, 91, 17-28.",,,,,Populus tremuloides,"EcM,AM",,,,,,Laura M. Suz,ok,,EcM-AM
"Schultz, R. C., Isebrands, J. G., & Kormanik, P. P. (1983). Mycorrhizae of poplars. USDA Forest Service General Technical Report NC, 91, 17-28.",,,,,Populus trichocarpa,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Smith, H. F., O’Connor, P. J., Smith, S. E., & Smith, F. A. (1998). Vesicular-arbuscular mycorrhizas of durian and other plants of forest gardens in West Kalimantan, Indonesia. In Soils of Tropical Forest Ecosystems (pp. 192-198). Springer Berlin Heidelberg.",,,,,Nephelium lappaceum,AM; others not addressed,,,,,,,,,AM
"Thapar, H. S., Vijyan, A. K., & Uniyal, K. (1992). Vesicular-arbuscular mycorrhizal associations and root colonization in some important tree species. Indian Forester, 118(3), 207-212.",,,pot,,Acacia auriculiformis,AM; no others,,Leho Tedersoo,most species of Acacia s.str. are EcM-AM,,,,,,EcM-AM
"Thapar, H. S., Vijyan, A. K., & Uniyal, K. (1992). Vesicular-arbuscular mycorrhizal associations and root colonization in some important tree species. Indian Forester, 118(3), 207-212.",,,pot,,Cinnamomum camphora,AM; no others,,,,,,,,,AM
"Thapar, H. S., Vijyan, A. K., & Uniyal, K. (1992). Vesicular-arbuscular mycorrhizal associations and root colonization in some important tree species. Indian Forester, 118(3), 207-212.",,,pot,,Magnolia champaca,AM; no others,,,,,,,,,AM
"Thomas Jr, W. D. (1943). Mycorrhizae associated with some Colorado flora. Phytopathology, 33, 144-149.",,,,,Gleditsia triacanthos,"EcM,AM",,Leho Tedersoo,incorrect report for EcM (this genus is AM; in this study 49% reports conflict with predictions),Mark Brundrett,incorrect report for EcM,Laura M. Suz,do not know,,AM
"Thomas Jr, W. D. (1943). Mycorrhizae associated with some Colorado flora. Phytopathology, 33, 144-149.",,,,,Populus deltoides,EcM; no others,,Leho Tedersoo,in this study 49% reports conflict with predictions,,,Laura M. Suz,ok,,EcM-AM
"Thomas Jr, W. D. (1943). Mycorrhizae associated with some Colorado flora. Phytopathology, 33, 144-149.",,,,,Populus tremuloides,EcM; no others,,Leho Tedersoo,in this study 49% reports conflict with predictions,,,Laura M. Suz,ok,,EcM-AM
"Thomas Jr, W. D. (1943). Mycorrhizae associated with some Colorado flora. Phytopathology, 33, 144-149.",,,,,Ulmus americana,EcM; no others,,Leho Tedersoo,incorrect report (this genus is AM; in this study 49% reports conflict with predictions),,,Laura M. Suz,not ECM,,AM
"Treseder, K. K., Mack, M. C., & Cross, A. (2004). Relationships among fires, fungi, and soil dynamics in Alaskan boreal forests. Ecological Applications, 14(6), 1826-1838.",,,,,Populus tremuloides,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Tuheteru, F. D., Basri, A., Budiarti, W. S., & Ibrahim, S. (2007). Keanekaragaman FMA pada ekosistem hutan dan savana di Taman Nasional Rawa Aopa Watumohai, Sulawesi Tenggara Indonesia. Di dalam: Budi SW, Turjaman M, Mardatin NF, Nusantara AD, Trisilawati O, Sitepu IR, Wulandari AS, Riniarti M, Setyaningsih L, editor. In Prosiding Seminar Naional Mikoriza II(pp. 17-21).",,,,,Barringtonia racemosa,AM; no others,,,,,,,,,AM
"Uma, E., Sathiyadash, K., Loganathan, J., & Muthukumar, T. (2012). Tree species as hosts for arbuscular mycorrhizal and dark septate endophyte fungi. Journal of forestry research, 23(4), 641-649.",,,,,Acacia auriculiformis,AM; no others,,Leho Tedersoo,most species of Acacia s.str. are EcM-AM,,,,,,EcM-AM
"Uma, E., Sathiyadash, K., Loganathan, J., & Muthukumar, T. (2012). Tree species as hosts for arbuscular mycorrhizal and dark septate endophyte fungi. Journal of forestry research, 23(4), 641-649.",,,,,Alstonia scholaris,AM; no others,,,,,,,,,AM
"Väre, H., Vestberg, M., & Ohtonen, R. (1997). Shifts in mycorrhiza and microbial activity along an oroarctic altitudinal gradient in northern Fennoscandia. Arctic and Alpine Research, 93-104.",,,natural,,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Visser, S., Maynard, D., & Danielson, R. M. (1998). Response of ecto-and arbuscular mycorrhizal fungi to clear-cutting and the application of chipped aspen wood in a mixedwood site in Alberta, Canada. Applied Soil Ecology, 7(3), 257-269.",,,,,Populus tremuloides,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Vozzo, J. A., & Hacskaylo, E. (1964). Anatomy of mycorrhizae of selected eastern forest trees. Bulletin of the Torrey Botanical Club, 378-387.",,,,,Acer rubrum,AM; no others,,,,,,,,,AM
"Vozzo, J. A., & Hacskaylo, E. (1964). Anatomy of mycorrhizae of selected eastern forest trees. Bulletin of the Torrey Botanical Club, 378-387.",,,,,Ilex opaca,AM; no others,,,,,,,,,AM
"Vozzo, J. A., & Hacskaylo, E. (1964). Anatomy of mycorrhizae of selected eastern forest trees. Bulletin of the Torrey Botanical Club, 378-387.",,,,,Liquidambar styraciflua,AM; no others,,,,,,,,,AM
"Vozzo, J. A., & Hacskaylo, E. (1964). Anatomy of mycorrhizae of selected eastern forest trees. Bulletin of the Torrey Botanical Club, 378-387.",,,,,Liriodendron tulipifera,AM; no others,,,,,,,,,AM
"Vozzo, J. A., & Hacskaylo, E. (1964). Anatomy of mycorrhizae of selected eastern forest trees. Bulletin of the Torrey Botanical Club, 378-387.",,,,,Pinus virginiana,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Vozzo, J. A., & Hacskaylo, E. (1964). Anatomy of mycorrhizae of selected eastern forest trees. Bulletin of the Torrey Botanical Club, 378-387.",,,,,Ulmus americana,AM; no others,,,,,,,,,AM
"Vozzo, J. A., & Hacskaylo, E. (1974). Endo-and ectomycorrhizal associations in five Populus species. Bulletin of the Torrey Botanical Club, 182-186.",,,greenhouse,,Populus deltoides,"EcM,AM",,,,,,Laura M. Suz,ok,,EcM-AM
"Vozzo, J. A., & Hacskaylo, E. (1974). Endo-and ectomycorrhizal associations in five Populus species. Bulletin of the Torrey Botanical Club, 182-186.",,,greenhouse,,Populus tremula,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Vozzo, J. A., & Hacskaylo, E. (1974). Endo-and ectomycorrhizal associations in five Populus species. Bulletin of the Torrey Botanical Club, 182-186.",,,greenhouse,,Populus tremuloides,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Aporosa yunnanensis,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Ardisia quinquegona,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Artocarpus styracifolius,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Canarium album,AM; others not addressed,,Leho Tedersoo,in this study 46% reports conflict with predictions,,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Cryptocarya chinensis,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Cryptocarya concinna,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Ficus variolosa,AM; others not addressed,,Leho Tedersoo,in this study 46% reports conflict with predictions,,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Garcinia oblongifolia,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Gironniera subaequalis,non-mycorrhizal (checked for all types),,Leho Tedersoo,in this study 46% reports conflict with predictions,,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Litsea verticillata,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Macaranga sampsonii,AM; others not addressed,,Leho Tedersoo,in this study 46% reports conflict with predictions,,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Machilus breviflora,AM; others not addressed,,Leho Tedersoo,in this study 46% reports conflict with predictions,,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Machilus kwangtungensis,AM; others not addressed,,Leho Tedersoo,in this study 46% reports conflict with predictions,,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Myrsine seguinii,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM; in this study 46% reports conflict with predictions),,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Sterculia lanceolata,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 46% reports conflict with predictions)",,,,,,AM
"Weimin, Y., Shenglei, F., Hongling, C., & Mingmao, D. (1994). Vesicular-arbuscular mycorrhizal associations in three forest types in the Dinghushan Biosphere Reserve, subtropical China. Mycorrhizas for Plantation Forestry in Asia, 41.",,,natural,,Syzygium levinei,AM; others not addressed,,Leho Tedersoo,in this study 46% reports conflict with predictions,,,,,,AM
"Wetta, T. C. (2011). A survey of mycorrhizas in Kansas Bluestem Prairie and adjacent forest (Doctoral dissertation, Kansas State University).",,,,,Pinus strobus,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Wetta, T. C. (2011). A survey of mycorrhizas in Kansas Bluestem Prairie and adjacent forest (Doctoral dissertation, Kansas State University).",,,,,Platanus occidentalis,EcM; no others,,Leho Tedersoo,incorrect report (this genus is AM),Mark Brundrett,incorrect report for EcM,Laura M. Suz,do not know,,AM
"Wetta, T. C. (2011). A survey of mycorrhizas in Kansas Bluestem Prairie and adjacent forest (Doctoral dissertation, Kansas State University).",,,,,Quercus rubra,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
